CHANNEL,PERIOD,PROPORTION,MONTHLY_TARGET
ALL CHANNEL,1/31/2023 0:00:00,6.284913619,5563720156
ALL CHANNEL,2/28/2023 0:00:00,5.777315412,4679789241
ALL CHANNEL,3/31/2023 0:00:00,9.130510722,6870170719
ALL CHANNEL,4/30/2023 0:00:00,10.94518046,8866418943
ALL CHANNEL,5/31/2023 0:00:00,8.202491972,6811385717
ALL CHANNEL,6/30/2023 0:00:00,6.945261327,5799223273
ALL CHANNEL,7/31/2023 0:00:00,8.116964063,7246208698
ALL CHANNEL,8/31/2023 0:00:00,9.58898917,7471920109
ALL CHANNEL,9/30/2023 0:00:00,7.009949363,5949369903
ALL CHANNEL,10/31/2023 0:00:00,8.652143717,6976530218
ALL CHANNEL,11/30/2023 0:00:00,7.544883464,6747253622
ALL CHANNEL,12/31/2023 0:00:00,11.80139671,9106712441
RETAIL,1/31/2023 0:00:00,7.289522079,3951777449
RETAIL,2/28/2023 0:00:00,5.755578979,3120200058
RETAIL,3/31/2023 0:00:00,7.186254602,3895794343
RETAIL,4/30/2023 0:00:00,10.80213562,5856026701
RETAIL,5/31/2023 0:00:00,8.425592439,4567661066
RETAIL,6/30/2023 0:00:00,7.217647803,3912813146
RETAIL,7/31/2023 0:00:00,9.372300724,5080888190
RETAIL,8/31/2023 0:00:00,8.38761153,4547070951
RETAIL,9/30/2023 0:00:00,7.628337649,4135455297
RETAIL,10/31/2023 0:00:00,8.112917519,4398154521
RETAIL,11/30/2023 0:00:00,8.954558767,4854422967
RETAIL,12/31/2023 0:00:00,10.86754229,5891484802
E-COMMERCE,1/31/2023 0:00:00,5.784024304,657762157.8
E-COMMERCE,2/28/2023 0:00:00,6.839842043,777830283
E-COMMERCE,3/31/2023 0:00:00,7.023094864,798669886.2
E-COMMERCE,4/30/2023 0:00:00,12.19984423,1387372432
E-COMMERCE,5/31/2023 0:00:00,8.320510365,946212630.6
E-COMMERCE,6/30/2023 0:00:00,7.037997726,800364647.1
E-COMMERCE,7/31/2023 0:00:00,5.978770898,679908838.6
E-COMMERCE,8/31/2023 0:00:00,8.547757576,972055298
E-COMMERCE,9/30/2023 0:00:00,7.753811204,881767316.5
E-COMMERCE,10/31/2023 0:00:00,7.14376519,812392576.5
E-COMMERCE,11/30/2023 0:00:00,7.112131129,808795135.1
E-COMMERCE,12/31/2023 0:00:00,16.25845047,1848919178
WHOLESALE,1/31/2023 0:00:00,5.781194474,954180550
WHOLESALE,2/28/2023 0:00:00,4.736525213,781758900
WHOLESALE,3/31/2023 0:00:00,13.1821827,2175706490
WHOLESALE,4/30/2023 0:00:00,9.833561538,1623019810
WHOLESALE,5/31/2023 0:00:00,7.861373112,1297512020
WHOLESALE,6/30/2023 0:00:00,6.580138452,1086045480
WHOLESALE,7/31/2023 0:00:00,8.999820567,1485411670
WHOLESALE,8/31/2023 0:00:00,11.8315984,1952793860
WHOLESALE,9/30/2023 0:00:00,5.647699235,932147290
WHOLESALE,10/31/2023 0:00:00,10.69974844,1765983120
WHOLESALE,11/30/2023 0:00:00,6.567960495,1084035520
WHOLESALE,12/31/2023 0:00:00,8.278197369,1366308460
