CHANNEL,SITE,PERIOD,MONTHLY_TARGET,MGH_3,MGH_CH_PROP,SLS_PER_MC
E-COMMERCE,2001,8/31/2023 0:00:00,0,BAGS,0.4956468652,0
E-COMMERCE,2059,8/31/2023 0:00:00,606042711.9,BAGS,0.4956468652,300383170.4
E-COMMERCE,2293,8/31/2023 0:00:00,298369051.7,BAGS,0.4956468652,147885685.2
E-COMMERCE,2294,8/31/2023 0:00:00,52239278.52,BAGS,0.4956468652,25892234.64
E-COMMERCE,2295,8/31/2023 0:00:00,2572191.21,BAGS,0.4956468652,1274898.51
E-COMMERCE,2296,8/31/2023 0:00:00,12832064.63,BAGS,0.4956468652,6360172.608
E-COMMERCE,6002,8/31/2023 0:00:00,0,BAGS,0.4956468652,0
E-COMMERCE,8164,8/31/2023 0:00:00,0,BAGS,0.4956468652,0
E-COMMERCE,2001,6/30/2023 0:00:00,0,BAGS,0.6694611167,0
E-COMMERCE,2059,6/30/2023 0:00:00,498999555.1,BAGS,0.6694611167,334060799.4
E-COMMERCE,2293,6/30/2023 0:00:00,245669193.2,BAGS,0.6694611167,164465972.4
E-COMMERCE,2294,6/30/2023 0:00:00,43012441.58,BAGS,0.6694611167,28795157.17
E-COMMERCE,2295,6/30/2023 0:00:00,2117874.276,BAGS,0.6694611167,1417834.478
E-COMMERCE,2296,6/30/2023 0:00:00,10565582.95,BAGS,0.6694611167,7073246.958
E-COMMERCE,6002,6/30/2023 0:00:00,0,BAGS,0.6694611167,0
E-COMMERCE,8164,6/30/2023 0:00:00,0,BAGS,0.6694611167,0
E-COMMERCE,2001,5/31/2023 0:00:00,0,BAGS,0.6964332515,0
E-COMMERCE,2059,5/31/2023 0:00:00,589930706.5,BAGS,0.6964332515,410847360.1
E-COMMERCE,2293,5/31/2023 0:00:00,290436733.3,BAGS,0.6964332515,202269798.5
E-COMMERCE,2294,5/31/2023 0:00:00,50850466.28,BAGS,0.6964332515,35413955.57
E-COMMERCE,2295,5/31/2023 0:00:00,2503807.979,BAGS,0.6964332515,1743735.132
E-COMMERCE,2296,5/31/2023 0:00:00,12490916.57,BAGS,0.6964332515,8699089.642
E-COMMERCE,6002,5/31/2023 0:00:00,0,BAGS,0.6964332515,0
E-COMMERCE,8164,5/31/2023 0:00:00,0,BAGS,0.6964332515,0
E-COMMERCE,2001,1/31/2023 0:00:00,0,BAGS,0.3920003293,0
E-COMMERCE,2059,1/31/2023 0:00:00,410091856.7,BAGS,0.3920003293,160756142.8
E-COMMERCE,2293,1/31/2023 0:00:00,201897846.4,BAGS,0.3920003293,79144022.28
E-COMMERCE,2294,1/31/2023 0:00:00,35348833.17,BAGS,0.3920003293,13856754.24
E-COMMERCE,2295,1/31/2023 0:00:00,1740528.594,BAGS,0.3920003293,682287.7818
E-COMMERCE,2296,1/31/2023 0:00:00,8683092.966,BAGS,0.3920003293,3403775.302
E-COMMERCE,6002,1/31/2023 0:00:00,0,BAGS,0.3920003293,0
E-COMMERCE,8164,1/31/2023 0:00:00,0,BAGS,0.3920003293,0
E-COMMERCE,2001,12/31/2023 0:00:00,0,BAGS,0.6330171523,0
E-COMMERCE,2059,12/31/2023 0:00:00,1152736882,BAGS,0.6330171523,729702218.2
E-COMMERCE,2293,12/31/2023 0:00:00,567519423.1,BAGS,0.6330171523,359249529.1
E-COMMERCE,2294,12/31/2023 0:00:00,99362869.71,BAGS,0.6330171523,62898400.82
E-COMMERCE,2295,12/31/2023 0:00:00,4892492.915,BAGS,0.6330171523,3097031.933
E-COMMERCE,2296,12/31/2023 0:00:00,24407511.01,BAGS,0.6330171523,15450373.12
E-COMMERCE,6002,12/31/2023 0:00:00,0,BAGS,0.6330171523,0
E-COMMERCE,8164,12/31/2023 0:00:00,0,BAGS,0.6330171523,0
E-COMMERCE,2001,2/28/2023 0:00:00,0,BAGS,0.4251073753,0
E-COMMERCE,2059,2/28/2023 0:00:00,484950161.9,BAGS,0.4251073753,206155890.5
E-COMMERCE,2293,2/28/2023 0:00:00,238752347.1,BAGS,0.4251073753,101495383.6
E-COMMERCE,2294,2/28/2023 0:00:00,41801421.05,BAGS,0.4251073753,17770092.39
E-COMMERCE,2295,2/28/2023 0:00:00,2058245.268,BAGS,0.4251073753,874975.2434
E-COMMERCE,2296,2/28/2023 0:00:00,10268107.67,BAGS,0.4251073753,4365048.302
E-COMMERCE,6002,2/28/2023 0:00:00,0,BAGS,0.4251073753,0
E-COMMERCE,8164,2/28/2023 0:00:00,0,BAGS,0.4251073753,0
E-COMMERCE,2001,4/30/2023 0:00:00,0,BAGS,0.5099266517,0
E-COMMERCE,2059,4/30/2023 0:00:00,864978518.1,BAGS,0.5099266517,441075599.5
E-COMMERCE,2293,4/30/2023 0:00:00,425849226.7,BAGS,0.5099266517,217151870.3
E-COMMERCE,2294,4/30/2023 0:00:00,74558860.01,BAGS,0.5099266517,38019549.84
E-COMMERCE,2295,4/30/2023 0:00:00,3671177.126,BAGS,0.5099266517,1872031.059
E-COMMERCE,2296,4/30/2023 0:00:00,18314650.15,BAGS,0.5099266517,9339128.229
E-COMMERCE,6002,4/30/2023 0:00:00,0,BAGS,0.5099266517,0
E-COMMERCE,8164,4/30/2023 0:00:00,0,BAGS,0.5099266517,0
E-COMMERCE,2001,10/31/2023 0:00:00,0,BAGS,0.448408472,0
E-COMMERCE,2059,10/31/2023 0:00:00,506498551.3,BAGS,0.448408472,227118241.4
E-COMMERCE,2293,10/31/2023 0:00:00,249361125,BAGS,0.448408472,111815641
E-COMMERCE,2294,10/31/2023 0:00:00,43658835.21,BAGS,0.448408472,19576991.58
E-COMMERCE,2295,10/31/2023 0:00:00,2149701.821,BAGS,0.448408472,963944.5088
E-COMMERCE,2296,10/31/2023 0:00:00,10724363.18,BAGS,0.448408472,4808895.306
E-COMMERCE,6002,10/31/2023 0:00:00,0,BAGS,0.448408472,0
E-COMMERCE,8164,10/31/2023 0:00:00,0,BAGS,0.448408472,0
E-COMMERCE,2001,3/31/2023 0:00:00,0,BAGS,0.3822667619,0
E-COMMERCE,2059,3/31/2023 0:00:00,497942930.6,BAGS,0.3822667619,190347031.7
E-COMMERCE,2293,3/31/2023 0:00:00,245148992.1,BAGS,0.3822667619,93712311.41
E-COMMERCE,2294,3/31/2023 0:00:00,42921363.34,BAGS,0.3822667619,16407410.58
E-COMMERCE,2295,3/31/2023 0:00:00,2113389.707,BAGS,0.3822667619,807878.6399
E-COMMERCE,2296,3/31/2023 0:00:00,10543210.47,BAGS,0.3822667619,4030318.928
E-COMMERCE,6002,3/31/2023 0:00:00,0,BAGS,0.3822667619,0
E-COMMERCE,8164,3/31/2023 0:00:00,0,BAGS,0.3822667619,0
E-COMMERCE,2001,7/31/2023 0:00:00,0,BAGS,0.5447757509,0
E-COMMERCE,2059,7/31/2023 0:00:00,423899542.8,BAGS,0.5447757509,230930191.8
E-COMMERCE,2293,7/31/2023 0:00:00,208695694.4,BAGS,0.5447757509,113692353.6
E-COMMERCE,2294,7/31/2023 0:00:00,36539019.19,BAGS,0.5447757509,19905571.62
E-COMMERCE,2295,7/31/2023 0:00:00,1799131.739,BAGS,0.5447757509,980123.3439
E-COMMERCE,2296,7/31/2023 0:00:00,8975450.447,BAGS,0.5447757509,4889607.757
E-COMMERCE,6002,7/31/2023 0:00:00,0,BAGS,0.5447757509,0
E-COMMERCE,8164,7/31/2023 0:00:00,0,BAGS,0.5447757509,0
E-COMMERCE,2001,11/30/2023 0:00:00,0,BAGS,0.3687232969,0
E-COMMERCE,2059,11/30/2023 0:00:00,504255671.5,BAGS,0.3687232969,185930813.7
E-COMMERCE,2293,11/30/2023 0:00:00,248256902.7,BAGS,0.3687232969,91538103.61
E-COMMERCE,2294,11/30/2023 0:00:00,43465504.91,BAGS,0.3687232969,16026744.27
E-COMMERCE,2295,11/30/2023 0:00:00,2140182.499,BAGS,0.3687232969,789135.1471
E-COMMERCE,2296,11/30/2023 0:00:00,10676873.49,BAGS,0.3687232969,3936811.995
E-COMMERCE,6002,11/30/2023 0:00:00,0,BAGS,0.3687232969,0
E-COMMERCE,8164,11/30/2023 0:00:00,0,BAGS,0.3687232969,0
E-COMMERCE,2001,9/30/2023 0:00:00,0,BAGS,0.4843292142,0
E-COMMERCE,2059,9/30/2023 0:00:00,549751291.8,BAGS,0.4843292142,266260611.2
E-COMMERCE,2293,9/30/2023 0:00:00,270655464.4,BAGS,0.4843292142,131086348.4
