GROUP,SITE,PERIOD,MONTHLY_TARGET,MGH_3,MGH_CH_PROP,SLS_PER_MC
NON-ORGANIC,2010,9/30/2023 0:00:00,228344.3707,APPAREL,0.3184752854,72722.03863
NON-ORGANIC,2014,9/30/2023 0:00:00,13361176.81,APPAREL,0.3184752854,4255204.596
NON-ORGANIC,2047,9/30/2023 0:00:00,2033022.164,APPAREL,0.3184752854,647467.314
NON-ORGANIC,2050,9/30/2023 0:00:00,26319540.77,APPAREL,0.3184752854,8382123.257
NON-ORGANIC,2080,9/30/2023 0:00:00,12645905.73,APPAREL,0.3184752854,4027408.435
NON-ORGANIC,2086,9/30/2023 0:00:00,1142941.625,APPAREL,0.3184752854,363998.6601
NON-ORGANIC,2106,9/30/2023 0:00:00,3155454.24,APPAREL,0.3184752854,1004934.19
NON-ORGANIC,2140,9/30/2023 0:00:00,4856428.598,APPAREL,0.3184752854,1546652.484
NON-ORGANIC,2174,9/30/2023 0:00:00,689137.9206,APPAREL,0.3184752854,219473.3959
NON-ORGANIC,2212,9/30/2023 0:00:00,7552511.973,APPAREL,0.3184752854,2405288.406
NON-ORGANIC,2221,9/30/2023 0:00:00,11655871.08,APPAREL,0.3184752854,3712106.868
NON-ORGANIC,2231,9/30/2023 0:00:00,2994885.361,APPAREL,0.3184752854,953796.9701
NON-ORGANIC,2239,9/30/2023 0:00:00,7764503.476,APPAREL,0.3184752854,2472802.461
NON-ORGANIC,2242,9/30/2023 0:00:00,12248287.78,APPAREL,0.3184752854,3900776.946
NON-ORGANIC,2255,9/30/2023 0:00:00,5556023.444,APPAREL,0.3184752854,1769456.152
NON-ORGANIC,2256,9/30/2023 0:00:00,6119681.313,APPAREL,0.3184752854,1948967.253
NON-ORGANIC,2257,9/30/2023 0:00:00,7455479.518,APPAREL,0.3184752854,2374385.967
NON-ORGANIC,2258,9/30/2023 0:00:00,8313057.237,APPAREL,0.3184752854,2647503.276
NON-ORGANIC,2259,9/30/2023 0:00:00,14717275.54,APPAREL,0.3184752854,4687088.529
NON-ORGANIC,2260,9/30/2023 0:00:00,11230743.82,APPAREL,0.3184752854,3576714.344
NON-ORGANIC,2261,9/30/2023 0:00:00,12213807.69,APPAREL,0.3184752854,3889795.891
NON-ORGANIC,2262,9/30/2023 0:00:00,3951173.769,APPAREL,0.3184752854,1258351.194
NON-ORGANIC,2263,9/30/2023 0:00:00,1328093.585,APPAREL,0.3184752854,422964.9834
NON-ORGANIC,2264,9/30/2023 0:00:00,5357381.531,APPAREL,0.3184752854,1706193.612
NON-ORGANIC,2265,9/30/2023 0:00:00,8063305.462,APPAREL,0.3184752854,2567963.508
NON-ORGANIC,2266,9/30/2023 0:00:00,35792770.52,APPAREL,0.3184752854,11399112.81
NON-ORGANIC,2267,9/30/2023 0:00:00,18424037.37,APPAREL,0.3184752854,5867600.561
NON-ORGANIC,2268,9/30/2023 0:00:00,6024174.525,APPAREL,0.3184752854,1918550.701
NON-ORGANIC,2269,9/30/2023 0:00:00,8671207.689,APPAREL,0.3184752854,2761565.344
NON-ORGANIC,2270,9/30/2023 0:00:00,6348912.859,APPAREL,0.3184752854,2021971.835
