CHANNEL,SITE,PERIOD,MONTHLY_TARGET,MGH_3,MGH_CH_PROP,SLS_PER_MC
WHOLESALE,1200,1/31/2023 0:00:00,954180550,APPAREL,0.4168415401,397742090
WHOLESALE,1200,1/31/2023 0:00:00,954180550,BAGS,0.3090719047,294910400
WHOLESALE,1200,1/31/2023 0:00:00,954180550,FOOTWEAR,0.2108990798,201235800
WHOLESALE,1200,1/31/2023 0:00:00,954180550,HEADWEAR,0.06318747537,60292260
WHOLESALE,1200,2/28/2023 0:00:00,781758900,APPAREL,0.1296691346,101370000
WHOLESALE,1200,2/28/2023 0:00:00,781758900,BAGS,0.6570167733,513628710
WHOLESALE,1200,2/28/2023 0:00:00,781758900,FOOTWEAR,0.1372108587,107265810
WHOLESALE,1200,2/28/2023 0:00:00,781758900,HEADWEAR,0.07610323336,59494380
WHOLESALE,1200,3/31/2023 0:00:00,2175706490,APPAREL,0.4937263941,1074203720
WHOLESALE,1200,3/31/2023 0:00:00,2175706490,BAGS,0.1932801653,420520910
WHOLESALE,1200,3/31/2023 0:00:00,2175706490,FOOTWEAR,0.2694832473,586316450
WHOLESALE,1200,3/31/2023 0:00:00,2175706490,HEADWEAR,0.04351019333,94665410
WHOLESALE,1200,4/30/2023 0:00:00,1623019810,APPAREL,0.2030451126,329546240
WHOLESALE,1200,4/30/2023 0:00:00,1623019810,BAGS,0.6009956958,975427920
WHOLESALE,1200,4/30/2023 0:00:00,1623019810,FOOTWEAR,0.1099993351,178531100
WHOLESALE,1200,4/30/2023 0:00:00,1623019810,HEADWEAR,0.08595985652,139514550
WHOLESALE,1200,5/31/2023 0:00:00,1297512020,APPAREL,0.1032898793,134019860
WHOLESALE,1200,5/31/2023 0:00:00,1297512020,BAGS,0.6357157138,824848780
WHOLESALE,1200,5/31/2023 0:00:00,1297512020,FOOTWEAR,0.1300242444,168708020
WHOLESALE,1200,5/31/2023 0:00:00,1297512020,HEADWEAR,0.1309701624,169935360
WHOLESALE,1200,6/30/2023 0:00:00,1086045480,APPAREL,0.2551647377,277120510
WHOLESALE,1200,6/30/2023 0:00:00,1086045480,BAGS,0.4434558579,481613230
WHOLESALE,1200,6/30/2023 0:00:00,1086045480,FOOTWEAR,0.2092571851,227262820
WHOLESALE,1200,6/30/2023 0:00:00,1086045480,HEADWEAR,0.09212221941,100048920
WHOLESALE,1200,7/31/2023 0:00:00,1485411670,APPAREL,0.2714514556,403217160
WHOLESALE,1200,7/31/2023 0:00:00,1485411670,BAGS,0.4604975333,684028410
WHOLESALE,1200,7/31/2023 0:00:00,1485411670,FOOTWEAR,0.2168330076,322086280
WHOLESALE,1200,7/31/2023 0:00:00,1485411670,HEADWEAR,0.05121800342,76079820
WHOLESALE,1200,8/31/2023 0:00:00,1952793860,APPAREL,0.2544065097,496803470
WHOLESALE,1200,8/31/2023 0:00:00,1952793860,BAGS,0.4022446435,785500870
WHOLESALE,1200,8/31/2023 0:00:00,1952793860,FOOTWEAR,0.2546169415,497214400
WHOLESALE,1200,8/31/2023 0:00:00,1952793860,HEADWEAR,0.08873190537,173275120
WHOLESALE,1200,9/30/2023 0:00:00,932147290,APPAREL,0.3853441552,359197510
WHOLESALE,1200,9/30/2023 0:00:00,932147290,BAGS,0.3114942919,290358560
WHOLESALE,1200,9/30/2023 0:00:00,932147290,FOOTWEAR,0.1875053351,174782590
WHOLESALE,1200,9/30/2023 0:00:00,932147290,HEADWEAR,0.1156562178,107808630
WHOLESALE,1200,10/31/2023 0:00:00,1765983120,APPAREL,0.3536528311,624544930
WHOLESALE,1200,10/31/2023 0:00:00,1765983120,BAGS,0.3247570622,573515490
WHOLESALE,1200,10/31/2023 0:00:00,1765983120,FOOTWEAR,0.279359301,493343810
WHOLESALE,1200,10/31/2023 0:00:00,1765983120,HEADWEAR,0.04223080569,74578890
WHOLESALE,1200,11/30/2023 0:00:00,1084035520,APPAREL,0.3391407783,367640650
WHOLESALE,1200,11/30/2023 0:00:00,1084035520,BAGS,0.5956041459,645656050
WHOLESALE,1200,11/30/2023 0:00:00,1084035520,HEADWEAR,0.06525507577,70738820
WHOLESALE,1200,12/31/2023 0:00:00,1366308460,APPAREL,0.2021102614,276144960
WHOLESALE,1200,12/31/2023 0:00:00,1366308460,BAGS,0.7087269664,968339650
WHOLESALE,1200,12/31/2023 0:00:00,1366308460,HEADWEAR,0.08916277222,121823850
